src,dst,num_paths,paths
5,8,8,"[[5, 8], [5, 7, 8], [5, 4, 7, 8], [5, 1, 9, 7, 8], [5, 4, 9, 7, 8], [5, 2, 4, 7, 8], [5, 1, 4, 7, 8], [5, 6, 4, 7, 8]]"
5,9,8,"[[5, 1, 9], [5, 4, 9], [5, 7, 9], [5, 1, 4, 9], [5, 4, 1, 9], [5, 2, 4, 9], [5, 7, 4, 9], [5, 4, 7, 9]]"
5,10,8,"[[5, 1, 9, 10], [5, 4, 9, 10], [5, 7, 9, 10], [5, 1, 4, 9, 10], [5, 4, 1, 9, 10], [5, 2, 4, 9, 10], [5, 7, 4, 9, 10], [5, 4, 7, 9, 10]]"
5,11,8,"[[5, 1, 11], [5, 4, 11], [5, 1, 4, 11], [5, 2, 4, 11], [5, 4, 1, 11], [5, 7, 4, 11], [5, 6, 4, 11], [5, 1, 9, 4, 11]]"
5,12,8,"[[5, 8, 14, 12], [5, 1, 9, 13, 12], [5, 4, 9, 13, 12], [5, 7, 9, 13, 12], [5, 7, 8, 14, 12], [5, 8, 7, 9, 13, 12], [5, 1, 4, 9, 13, 12], [5, 4, 1, 9, 13, 12]]"
5,13,8,"[[5, 1, 9, 13], [5, 4, 9, 13], [5, 7, 9, 13], [5, 1, 4, 9, 13], [5, 4, 1, 9, 13], [5, 2, 4, 9, 13], [5, 7, 4, 9, 13], [5, 4, 7, 9, 13]]"
5,14,8,"[[5, 8, 14], [5, 7, 8, 14], [5, 4, 7, 8, 14], [5, 7, 9, 13, 12, 14], [5, 1, 4, 7, 8, 14], [5, 4, 9, 7, 8, 14], [5, 2, 4, 7, 8, 14], [5, 1, 9, 7, 8, 14]]"
6,7,8,"[[6, 4, 7], [6, 5, 7], [6, 4, 5, 7], [6, 2, 4, 7], [6, 5, 4, 7], [6, 4, 9, 7], [6, 2, 5, 7], [6, 5, 8, 7]]"
6,8,8,"[[6, 5, 8], [6, 2, 5, 8], [6, 5, 7, 8], [6, 4, 5, 8], [6, 4, 7, 8], [6, 2, 4, 5, 8], [6, 2, 5, 7, 8], [6, 5, 4, 7, 8]]"
6,9,8,"[[6, 4, 9], [6, 2, 4, 9], [6, 4, 1, 9], [6, 5, 1, 9], [6, 4, 7, 9], [6, 5, 4, 9], [6, 5, 7, 9], [6, 2, 5, 1, 9]]"
6,10,8,"[[6, 4, 9, 10], [6, 2, 4, 9, 10], [6, 4, 1, 9, 10], [6, 5, 1, 9, 10], [6, 4, 7, 9, 10], [6, 5, 4, 9, 10], [6, 5, 7, 9, 10], [6, 2, 5, 1, 9, 10]]"
6,11,8,"[[6, 4, 11], [6, 2, 4, 11], [6, 4, 1, 11], [6, 5, 1, 11], [6, 5, 4, 11], [6, 2, 5, 1, 11], [6, 2, 4, 1, 11], [6, 4, 9, 1, 11]]"
6,12,8,"[[6, 4, 9, 13, 12], [6, 5, 8, 14, 12], [6, 4, 1, 9, 13, 12], [6, 2, 4, 9, 13, 12], [6, 5, 1, 9, 13, 12], [6, 4, 7, 9, 13, 12], [6, 2, 5, 8, 14, 12], [6, 5, 4, 9, 13, 12]]"
6,13,8,"[[6, 4, 9, 13], [6, 5, 1, 9, 13], [6, 4, 1, 9, 13], [6, 2, 4, 9, 13], [6, 5, 4, 9, 13], [6, 4, 7, 9, 13], [6, 5, 7, 9, 13], [6, 5, 1, 4, 9, 13]]"
6,14,8,"[[6, 5, 8, 14], [6, 2, 5, 8, 14], [6, 5, 7, 8, 14], [6, 4, 5, 8, 14], [6, 4, 7, 8, 14], [6, 2, 4, 5, 8, 14], [6, 2, 5, 7, 8, 14], [6, 5, 4, 7, 8, 14]]"
7,8,8,"[[7, 8], [7, 5, 8], [7, 4, 5, 8], [7, 9, 1, 5, 8], [7, 4, 1, 5, 8], [7, 9, 4, 5, 8], [7, 4, 2, 5, 8], [7, 4, 6, 5, 8]]"
7,9,8,"[[7, 9], [7, 4, 9], [7, 5, 1, 9], [7, 4, 1, 9], [7, 5, 4, 9], [7, 8, 5, 1, 9], [7, 5, 1, 4, 9], [7, 4, 11, 1, 9]]"
7,10,8,"[[7, 9, 10], [7, 4, 9, 10], [7, 5, 1, 9, 10], [7, 4, 1, 9, 10], [7, 5, 4, 9, 10], [7, 8, 5, 1, 9, 10], [7, 5, 1, 4, 9, 10], [7, 4, 11, 1, 9, 10]]"
7,11,8,"[[7, 4, 11], [7, 9, 1, 11], [7, 4, 1, 11], [7, 5, 1, 11], [7, 9, 4, 11], [7, 5, 4, 11], [7, 9, 1, 4, 11], [7, 4, 9, 1, 11]]"
7,12,8,"[[7, 9, 13, 12], [7, 8, 14, 12], [7, 4, 9, 13, 12], [7, 5, 8, 14, 12], [7, 4, 1, 9, 13, 12], [7, 5, 1, 9, 13, 12], [7, 4, 5, 8, 14, 12], [7, 5, 4, 9, 13, 12]]"
7,13,8,"[[7, 9, 13], [7, 4, 9, 13], [7, 5, 1, 9, 13], [7, 4, 1, 9, 13], [7, 8, 14, 12, 13], [7, 5, 4, 9, 13], [7, 5, 1, 4, 9, 13], [7, 4, 11, 1, 9, 13]]"
7,14,8,"[[7, 8, 14], [7, 5, 8, 14], [7, 4, 5, 8, 14], [7, 9, 13, 12, 14], [7, 4, 1, 5, 8, 14], [7, 9, 1, 5, 8, 14], [7, 4, 2, 5, 8, 14], [7, 9, 4, 5, 8, 14]]"
8,9,8,"[[8, 7, 9], [8, 5, 1, 9], [8, 7, 4, 9], [8, 5, 4, 9], [8, 5, 7, 9], [8, 14, 12, 13, 9], [8, 5, 1, 4, 9], [8, 7, 5, 1, 9]]"
8,10,8,"[[8, 7, 9, 10], [8, 5, 1, 9, 10], [8, 7, 4, 9, 10], [8, 5, 4, 9, 10], [8, 5, 7, 9, 10], [8, 14, 12, 13, 9, 10], [8, 5, 1, 4, 9, 10], [8, 7, 5, 1, 9, 10]]"
8,11,8,"[[8, 5, 1, 11], [8, 7, 4, 11], [8, 5, 4, 11], [8, 5, 1, 4, 11], [8, 7, 5, 1, 11], [8, 7, 4, 1, 11], [8, 5, 2, 4, 11], [8, 5, 4, 1, 11]]"
8,12,8,"[[8, 14, 12], [8, 7, 9, 13, 12], [8, 5, 1, 9, 13, 12], [8, 7, 4, 9, 13, 12], [8, 5, 4, 9, 13, 12], [8, 5, 7, 9, 13, 12], [8, 5, 1, 4, 9, 13, 12], [8, 7, 5, 1, 9, 13, 12]]"
8,13,8,"[[8, 7, 9, 13], [8, 14, 12, 13], [8, 7, 4, 9, 13], [8, 5, 1, 9, 13], [8, 5, 4, 9, 13], [8, 5, 7, 9, 13], [8, 7, 5, 1, 9, 13], [8, 7, 4, 1, 9, 13]]"
8,14,8,"[[8, 14], [8, 7, 9, 13, 12, 14], [8, 5, 1, 9, 13, 12, 14], [8, 7, 4, 9, 13, 12, 14], [8, 5, 4, 9, 13, 12, 14], [8, 5, 7, 9, 13, 12, 14], [8, 5, 1, 4, 9, 13, 12, 14], [8, 7, 5, 1, 9, 13, 12, 14]]"
9,10,1,"[[9, 10]]"
9,11,8,"[[9, 1, 11], [9, 4, 11], [9, 1, 4, 11], [9, 7, 4, 11], [9, 4, 1, 11], [9, 1, 5, 4, 11], [9, 7, 5, 1, 11], [9, 7, 4, 1, 11]]"
9,12,8,"[[9, 13, 12], [9, 7, 8, 14, 12], [9, 1, 5, 8, 14, 12], [9, 7, 5, 8, 14, 12], [9, 4, 5, 8, 14, 12], [9, 4, 7, 8, 14, 12], [9, 1, 4, 5, 8, 14, 12], [9, 1, 5, 7, 8, 14, 12]]"
